"Read Details","Läs detaljer",module,Magento_AdminNotification
"Mark as Read","Markera som läst",module,Magento_AdminNotification
"Are you sure?","Är du säker?",module,Magento_AdminNotification
Remove,"Ta bort",module,Magento_AdminNotification
"Messages Inbox",Inkorgen,module,Magento_AdminNotification
"You have %1 new system messages","Du har %1 nya meddelanden",module,Magento_AdminNotification
"You have %1 new system message","Du har %1 nytt meddelande",module,Magento_AdminNotification
"Incoming Message","Inkommande meddelande",module,Magento_AdminNotification
close,stäng,module,Magento_AdminNotification
Notifications,Aviseringar,module,Magento_AdminNotification
"The message has been marked as Read.","Meddelandet har markerats som läst.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Vi kunde inte markera meddelandet som läst på grund av ett fel.",module,Magento_AdminNotification
"Please select messages.","Välj meddelanden.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Sammanlagt %1 post(er) har markerats som läst(a).",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Totalt %1 post(er) har tagits bort.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Vi kunde inte ta bort meddelanden på grund av ett fel.",module,Magento_AdminNotification
"The message has been removed.","Meddelandet har tagits bort.",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har tittat på och löst alla senaste systemmeddelanden. Vänligen uppdatera webbsidan för att få bort varningsnotisen.",module,Magento_AdminNotification
"1 Hour","1 timme",module,Magento_AdminNotification
"2 Hours","2 timmar",module,Magento_AdminNotification
"6 Hours","6 timmar",module,Magento_AdminNotification
"12 Hours","12 timmar",module,Magento_AdminNotification
"24 Hours","24 timmar",module,Magento_AdminNotification
critical,kritiska,module,Magento_AdminNotification
major,stora,module,Magento_AdminNotification
minor,mindre,module,Magento_AdminNotification
notice,avisering,module,Magento_AdminNotification
"Wrong message type","Fel meddelandetyp",module,Magento_AdminNotification
"Wrong notification ID specified.","Fel aviserings-ID har angetts.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} är inte rekommenderat att använda som URL i en produktionsmiljö. Vi rekommenderar att du ändrar detta i dina Magento-<a href=""%1"">inställningar</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","En eller flera av cache-typerna är ogiltiga: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Gå till <a href=""%1"">cache-hanteringen</a> och uppdatera cache-typer.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Det gick inte att synkronisera en eller flera mediefiler. Se loggfilen för detaljer.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synkronisering av medialagringar har slutförts.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Din webbserver är felaktigt inställd och tillåter obehörig åtkomst till känsliga filer. Kontakta ditt webbhotell för åtgärd.",module,Magento_AdminNotification
"System Messages:",Meddelanden:,module,Magento_AdminNotification
"Critical System Messages","Kritiska meddelanden",module,Magento_AdminNotification
"Major System Messages","Viktiga meddelanden",module,Magento_AdminNotification
"System messages",Meddelanden,module,Magento_AdminNotification
Close,Stäng,module,Magento_AdminNotification
"See All (","Visa alla (",module,Magento_AdminNotification
" unread)"," olästa)",module,Magento_AdminNotification
"Please correct the data sent.","Korrigera de data som skickas.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","Enhet typ modell '%1' finns inte",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Enhet typ modell måste vara en instans av \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","Det finns ingen produkttyper för export",module,Magento_AdvancedPricingImportExport
"Subscription status","Prenumerations status",module,Magento_Analytics
"Sorry, there has been an error processing your request. Please try again later.","Tyvärr, har det varit ett fel uppstod när din begäran bearbetades. Försök igen senare.",module,Magento_Analytics
"Time value has an unsupported format","Tidsvärde har ett felaktigt format",module,Magento_Analytics
"Cron settings can't be saved","Cron inställningarna kan inte sparas",module,Magento_Analytics
"There was an error save new configuration value.","Det gick inte spara nya konfigurationsvärde.",module,Magento_Analytics
"Please select a vertical.","Vänligen välj en vertikal.",module,Magento_Analytics
"--Please Select--","--Vänligen Välj--",module,Magento_Analytics
"Command was not found.","Kommandot hittades inte.",module,Magento_Analytics
"Input data must be string or convertible into string.","Inmatad data måste vara en sträng eller kunna konverteras till en sträng.",module,Magento_Analytics
"Input data must be non-empty string.","Inmatad data får inte vara en tom stäng.",module,Magento_Analytics
"Not valid cipher method.","Chiper-metoden är inte giltig.",module,Magento_Analytics
"Encryption key can't be empty.","Krypteringsnyckeln kan inte vara tom.",module,Magento_Analytics
"Source ""%1"" is not exist","Källa ""%1"" finns inte",module,Magento_Analytics
"These arguments can't be empty ""%1""","De här argumenten kan inte lämnas tomma ""%1""",module,Magento_Analytics
"Cannot find predefined integration user!","Kan inte hitta fördefinierade integrering användaren!",module,Magento_Analytics
"File is not ready yet.","Filen är inte klar än.",module,Magento_Analytics
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Din bas-URL har ändrats och dina rapporter uppdateras. Avancerad rapportering blir tillgängliga när den här ändringen har behandlats. Försök igen senare.",module,Magento_Analytics
"Failed to synchronize data to the Magento Business Intelligence service. ","Det gick inte att synkronisera data till tjänsten Magento Business Intelligence. ",module,Magento_Analytics
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Återstarta synkronisering</a>",module,Magento_Analytics
TestMessage,Testmeddelande,module,Magento_Analytics
"Apps and Games","Appar och Spel",module,Magento_Analytics
"Athletic/Sporting Goods","Idrotts-, och sportartiklar",module,Magento_Analytics
"Art and Design","Konst och Design",module,Magento_Analytics
"Advanced Reporting","Avancerad rapportering",module,Magento_Analytics
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Få nya insikter och ta kommandot över ditt företags prestanda, med hjälp av vår dynamiska produkt; ordrar och kundrapporter anpassade till dina kunddata.",module,Magento_Analytics
"Go to Advanced Reporting","Gå till avancerad rapportering",module,Magento_Analytics
"We can't find the role for the user you wanted.","Vi kan inte hitta rollen för den användare som du önskade.",module,Magento_Authorization
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Något gick fel vid sammanställa en lista över tillåtna resurser. Du kan läsa mer i loggen undantag.",module,Magento_Authorization
"You created the order.","Du skapade ordern.",module,Magento_Authorizenet
"Order saving error: %1","Fel vid sparandet av ordern %1",module,Magento_Authorizenet
"Please choose a payment method.","Välj en betalningsmetod.",module,Magento_Authorizenet
"We can't process your order right now. Please try again later.","Vi kan inte behandla din beställning just nu. Försök igen senare.",module,Magento_Authorizenet
